x,y,z,val
33.549,-7.501,-5.312,1
24.287,-6.651,-0.82,1
14.277,-2.361,7.801,1
15.421,2.848,23.962,1
17.313,6.701,28.588,1
21.788,9.516,30.721,1
19.559,10.192,26.421,1
17.27,4.239,27.934,1
13.551,1.002,20.83,1
5.782,-2.863,16.559,1
-2.58,-8.808,15.022,1
-8.429,-12.982,15.709,1
-12.734,-17.631,16.647,1
-7.165,-19.03,23.821,1
-16.73,-23.485,21.836,1
-32.289,-27.204,20.608,1
-34.448,-27.781,34.892,1
-15.993,-36.24,33.898,1
7.322,-37.013,17.124,1
11.993,-26.177,-0.045,1
7.915,-14.006,-3.231,1
8.31,-11.397,2.126,1
14.38,-9.706,15.378,1
19.389,-11.957,17.593,1
21.568,-15.673,6.357,1
22.592,-20.196,2.078,1
28.959,-26.94,5.507,1
32.543,-31.525,-0.957,1
39.771,-25.746,-12.471,1
44.234,-19.602,-10.658,1
44.828,-17.162,2.052,1
45.407,-17.124,8.133,1
42.776,-17.437,11.552,1
45.206,-11.169,18.786,1
49.291,-9.089,17.356,1
45.826,-12.922,7.683,1
37.15,-10.963,4.506,1
33.154,-3.024,11.497,1
30.958,-0.857,15.115,1
29.227,-1.697,13.786,1
17.852,-5.557,15.934,1
15.594,-4.029,23.11,1
8.703,-8.334,26.301,1
-2.973,-14.083,29.799,1
-9.303,-14.071,14.38,1
-8.444,-23.629,20.538,1
-18.366,-29.186,3.304,1
-36.687,-28.303,-3.557,1
-41.894,-32.215,3.95,1
-17.394,-38.771,12.086,1
4.594,-37.324,2.193,1
15.563,-22.441,-7.218,1
25.571,-6.979,-4.869,1
37.684,3.294,10.156,1
37.854,-2.006,13.494,1
34.813,-12.965,1.307,1
36.654,-11.073,-11.573,1
42.565,1.259,-15.488,1
41.474,9.265,-8.537,1
39.407,9.239,2.148,1
37.262,5.532,10.494,1
35.232,4.754,18.01,1
38.689,6.844,18.814,1
36.233,5.286,11.358,1
29.636,1.9,7.853,1
22.097,-0.984,8.811,1
15.646,-2.322,10.748,1
9.831,-2.511,10.908,1
5.969,1.421,12.438,0
12.567,2.882,5.136,0
12.984,3.069,4.386,0
9.627,3.864,9.678,0
9.496,3.883,10.628,0
9.931,4.141,10.245,0
10.647,3.95,8.768,0
13.755,1.895,4.556,0
13.111,1.048,5.701,0
13.022,0.219,5.955,0
13.748,0.356,4.597,0
14.998,1.481,3.524,0
15.656,2.281,3.23,0
14.859,1.62,3.297,0
15.785,2.566,5.114,0
15.833,2.554,4.401,0
14.83,2.712,2.784,0
14.069,2.8,2.94,0
13.597,3.066,3.201,0
11.792,-5.521,7.824,0
12.259,-5.186,7.731,0
11.492,-5.588,6.002,0
10.02,-6.656,7.216,0
12.39,-5.808,7.504,0
13.14,-4.846,6.852,0
12.385,-5.152,6.752,0
12.055,-5.286,6.227,0
11.21,-4.824,6.802,0
12.886,-3.91,6.52,0
12.785,-3.685,4.207,0
10.276,3.624,12.402,0
9.469,3.911,13.082,0
8.124,3.789,11.895,0
12.072,6.282,4.355,0
13.767,6.998,4.939,0
13.389,6.617,4.317,0
12.668,6.315,6.029,0
13.88,6.844,6.479,0
14.55,7.007,5.009,0
13.786,6.593,5.251,0
13.453,6.627,7.568,0
12.728,6.023,9.493,0
11.093,5.001,9.103,0
6.436,1.18,13.647,0
5.43,1.065,13.609,0
6.903,5.463,10.793,0
7.64,-6.553,9.788,0
6.946,-7.314,9.795,0
7.618,-7.911,9.23,0
8.327,-8.267,9.139,0
8.653,-8.315,9.611,0
9.522,-8.562,9.874,0
9.766,-8.921,9.441,0
9.496,-8.622,9.225,0
9.998,-7.573,10.413,0
9.862,-6.426,10.113,0
9.103,-5.509,9.342,0
8.533,-4.614,10.52,0
8.533,-4.046,10.585,0
11.617,-5.971,5.459,0
11.411,-6.184,5.677,0
11.09,-6.493,5.921,0
10.721,-6.864,5.911,0
10.621,-7.07,6.084,0
10.721,-7.204,6.045,0
10.281,-7.642,5.442,0
7.556,2.698,12.007,0
