x,y,z,val
78.358,27.356,13.398,1
71.874,14.884,25.365,1
35.907,-1.934,11.928,1
14.638,-11.516,-1.347,1
-6.337,-22.015,-3.677,1
-42.481,-37.47,-4.318,1
-71.5,-42.807,-5.592,1
-54.675,-38.318,4.003,1
-20.846,-32.816,4.465,1
17.339,-25.734,12.426,1
54.429,-10.401,32.842,1
78.358,14.231,41.469,1
73.914,20.341,23.914,1
56.498,15.236,12.002,1
40.351,3.665,11.775,1
28.396,-11.14,12.922,1
14.718,-24.853,2.148,1
-10.692,-33.132,-12.433,1
-34.479,-37.76,-18.703,1
-39.151,-35.354,-8.513,1
-21.181,-31.154,-3.097,1
5.188,-24.896,-1.347,1
43.289,-12.915,8.569,1
78.358,9.184,15.764,1
78.358,18.117,12.522,1
59.826,6.186,-3.986,1
31.116,-6.005,-14.477,1
14.325,-11.811,-16.156,1
-1.704,-20.718,-27.086,1
-23.272,-29.193,-27.105,1
-47.978,-35.526,-18.821,1
-44.662,-34.676,-8.791,1
-19.391,-30.798,-9.351,1
11.059,-23.849,-8.817,1
49.724,-9.352,5.119,1
78.358,14.712,14.141,1
78.358,27.821,15.189,1
59.955,19.489,5.591,1
35.407,8.983,-7.476,1
22.693,-0.756,-8.144,1
7.116,-13.053,-7.067,1
-15.306,-30.994,-11.056,1
-51.524,-45.192,-14.425,1
-57.814,-45.439,-4.553,1
-30.797,-40.724,-0.303,1
5.71,-33.403,-6.131,1
43.602,-17.303,-4.381,1
74.158,6.82,0.309,1
78.358,24.739,6.733,1
77.565,24.093,-0.174,1
52.198,8.473,-7.462,1
34.114,-4.616,-14.769,1
22.43,-17.418,-16.048,1
1.441,-33.429,-10.915,1
-40.63,-49.073,2.61,1
-74.399,-47.637,8.899,1
-41.892,-38.299,3.144,1
12.067,-24.426,-16.283,1
49.739,1.927,-8.2,1
76.67,23.422,0.349,1
78.358,33.036,-13.929,1
72.523,22.199,-10.33,1
51.549,5.664,-2.247,1
37.954,-4.535,-0.44,1
29.983,-10.925,0.021,1
17.895,-16.927,1.798,1
3.155,-20.715,3.529,1
-9.914,-23.385,2.449,1
-21.885,-27.113,3.558,1
-28.374,-28.212,0.831,1
-24.069,-33.036,-2.003,1
-19.91,-40.315,-11.446,1
-11.248,-40.813,-11.204,1
-4.239,-38.555,0.11,1
-3.088,-37.834,5.727,1
1.496,-37.858,8.248,1
10.571,-38.622,14.373,1
20.636,-40.688,23.67,1
34.415,-40.054,27.685,1
48.594,-32.1,23.155,1
53.783,-23.43,17.828,1
52.396,-15.781,11.162,1
48.941,-10.324,8.052,1
50.316,-5.047,5.409,1
54.513,3.627,4.255,1
52.633,9.584,5.042,1
55.452,14.365,9.838,1
62.721,19.891,9.362,1
63.338,17.523,1.556,1
59.814,7.577,4.623,1
57.345,-3.261,7.377,1
55.473,-11.035,6.29,1
52.861,-20.416,9.017,1
49.796,-29.387,11.555,1
45.391,-34.437,11.248,1
39.36,-37.164,12.218,1
34.068,-37.837,12.989,1
26.543,-37.085,14.064,1
20.131,-36.371,14.648,1
15.34,-33.915,12.955,1
9.785,-30.632,11.679,1
5.454,-29.304,11.557,1
-2.125,-31.128,9.496,1
-10.726,-35.385,1.753,1
-20.789,-39.541,-7.081,1
-29.772,-42.843,-4.361,1
-37.702,-46.092,-1.409,1
-43.532,-47.409,-8.286,1
-36.962,-46.236,-9.191,1
-22.723,-44.598,-7.998,1
-8.334,-45.51,-7.273,1
9.103,-45.795,-1.649,1
21.24,-47.507,6.196,1
28.834,-50.347,15.958,1
42.659,-49.765,18.211,1
49.456,-48.503,19.121,1
52.882,-46.842,18.17,1
60.128,-41.811,11.035,1
67.619,-29.356,2.14,1
64.713,-18.41,-4.618,1
60.487,-11.993,-9.488,1
55.135,-7.283,-10.467,1
52.916,-2.902,-5.195,1
51.968,2.03,-4.39,1
50.826,4.175,-5.8,1
50.005,2.329,-2.271,1
43.667,-5.399,4.025,1
36.292,-13.032,13.398,1
30.062,-15.271,21.764,1
26.979,-13.968,26.241,1
25.841,-13.396,31.49,1
27.18,-12.685,27.149,1
26.806,-15.012,22.207,1
25.049,-21.733,21.666,1
26.172,-26.545,25.224,1
33.357,-27.946,19.43,1
36.623,-31.557,10.693,1
34.049,-36.541,9.62,1
29.392,-40.71,9.857,1
25.844,-41.459,6.522,1
22.485,-40.26,0.845,1
17.054,-40.198,0.237,1
7.889,-40.26,-1.206,1
0.218,-38.431,-6.99,1
-5.86,-35.282,-12.662,1
-6.229,-30.529,-12.811,1
-4.029,-26.411,-14.192,1
-0.528,-23.042,-15.296,1
1.58,-23.842,-14.841,1
6.062,-25.166,-15.109,1
13.721,-26.057,-14.073,1
17.294,-28.296,-12.033,1
17.461,-34.286,-11.511,1
22.341,-39.405,-15.354,1
30.757,-41.869,-12.423,1
38.929,-43.614,-4.711,1
45.776,-41.421,-7.668,1
50.428,-38.967,-10.955,1
48.582,-40.578,-6.784,1
48.611,-40.384,0.95,1
52.023,-36.264,5.459,1
53.433,-35.328,3.745,1
49.688,-40.442,2.744,1
42.376,-46.178,12.879,1
31.676,-45.781,29.332,1
20.83,-40.576,31.399,1
10.848,-37.118,31.466,1
3.493,-32.553,31.023,1
3.416,-27.742,29.208,1
4.858,-25.609,25.082,1
7.568,-24.134,22.157,1
10.901,-23.277,18.944,1
10.202,-26.114,17.538,1
5.571,-30.46,15.723,1
-0.15,-31.698,9.991,1
-4.793,-30.357,0.879,1
-10.654,-28.432,-6.471,1
-16.999,-29.122,-4.496,1
-20.37,-32.138,-6.387,1
-12.859,-34.181,-14.645,1
4.638,-37.918,-17.532,1
20.114,-42.791,-10.216,1
30.185,-45.036,-12.186,1
40.497,-48.853,-23.559,1
48.587,-54.274,-18.871,1
52.691,-56.855,-7.496,1
60.219,-56.392,-8.034,1
64.308,-49.231,-0.349,1
61.341,-41.61,7.279,1
54.944,-32.751,9.656,1
53.266,-22.473,10.19,1
51.628,-16.063,5.971,1
55.602,-15.51,1.618,1
57.52,-25.437,-4.306,1
44.158,-44.38,-0.614,1
21.079,-51.879,14.028,1
3.249,-47.304,27.505,1
0.955,-37.913,27.371,1
4.772,-31.626,20.835,1
5.689,-30.189,18.12,1
2.334,-32.131,16.856,1
-1.898,-32.979,12.125,1
-2.657,-31.212,7.717,1
1.561,-29.124,6.615,1
5.856,-26.916,5.835,1
2.945,-27.836,-3.253,1
-6.088,-29.878,-13.747,1
-7.168,-33.924,-15.849,1
12.33,-35.361,-11.362,1
33.841,-30.462,-17.568,1
28.928,-36.357,-21.294,1
38.45,-38.196,-21.531,1
48.803,-37.571,-25.247,1
54.932,-36.197,-17.595,1
55.332,-31.904,-15.969,1
53.548,-31.485,-12.191,1
54.965,-28.111,-3.674,1
58.947,-22.762,1.81,1
62.424,-18.007,-0.995,1
59.079,-21.232,3.493,1
52.542,-24.929,15.577,1
46.265,-26.576,21.067,1
38.605,-31.255,18.46,1
29.397,-36.556,16.564,1
21.304,-37.628,17.203,1
15.721,-37.154,19.075,1
8.521,-35.543,19.509,1
4.257,-33.075,19.81,1
-1.29,-32.744,19.734,1
-5.824,-33.424,16.978,1
-4.34,-34.08,13.324,1
-5.542,-34.581,9.218,1
-9.713,-34.961,0.788,1
-11.238,-34.913,-5.606,1
-5.168,-37.152,-3.768,1
4.87,-37.918,-11.712,1
17.969,-35.301,-21.488,1
28.36,-29.323,-27.191,1
30.491,-26.869,-39.012,1
39.096,-25.346,-40.407,1
48.273,-24.493,-28.039,1
56.747,-17.617,-18.466,1
55.102,-12.673,-13.706,1
53.146,-10.07,-9.172,1
48.925,-9.132,-1.014,1
50.495,-7.116,5.552,1
52.511,-3.924,15.769,1
50.9,-3.737,17.684,1
49.753,-6.546,22.106,1
46.676,-10.417,21.821,1
39.829,-15.366,22.808,1
36.166,-20.011,26.586,1
30.024,-22.59,24.508,1
23.521,-24.58,15.939,1
17.306,-28.281,11.691,1
9.622,-31.513,17.098,1
3.405,-32.076,21.194,1
2.986,-30.515,16.078,1
4.465,-28.363,9.541,1
3.009,-27.644,6.247,1
-1.338,-27.367,3.96,1
-5.264,-28.3,-1.428,1
-6.694,-27.86,-6.66,1
-3.346,-27.735,-8.018,1
2.277,-28.734,-10.986,1
9.577,-29.643,-14.401,1
14.897,-30.094,-20.049,1
20.145,-28.37,-24.943,1
19.839,-29.715,-24.344,1
22.166,-32.474,-23.145,1
31.557,-30.889,-22.074,1
35.457,-29.821,-18.715,1
35.098,-30.728,-14.259,1
38.907,-28.837,-7.848,1
42.508,-24.41,2.093,1
48.103,-17.121,12.419,1
53.321,-6.893,16.875,1
49.001,-7.872,10.415,1
46.758,-11.473,18.168,1
45.855,-12.417,28.968,1
43.42,-16.621,25.909,1
37.341,-22.631,22.401,1
31.07,-27.537,16.243,1
22.916,-32.627,10.643,1
11.947,-36.975,11.315,1
1.75,-35.411,17.16,1
-0.71,-29.205,18.199,1
0.155,-25.729,11.902,1
1.041,-23.172,8.727,1
2.308,-21.498,6.778,1
4.051,-22.022,5.679,1
5.483,-22.908,3.531,1
9.108,-23.588,0.881,1
9.608,-26.988,-3.011,1
10.085,-32.778,-7.079,1
16.714,-35.782,-10.18,1
26.914,-36.879,-16.371,1
40.288,-30.127,-18.694,1
45.791,-23.27,-16.364,1
46.006,-18.884,-10.723,1
46.329,-16.942,-9.059,1
49.578,-14.219,-9.507,1
51.441,-8.109,8.366,1
46.995,-1.082,20.885,1
41.996,3.689,13.573,1
40.13,6.49,6.795,1
39.266,4.541,12.615,1
33.793,-0.014,28.712,1
30.742,-3.127,27.405,1
29.725,-6.555,19.911,1
28.54,-10.46,17.653,1
26.251,-15.644,19.568,1
22.128,-19.283,22.003,1
18.589,-21.85,20.629,1
16.396,-22.113,22.425,1
15.055,-22.904,21.108,1
12.215,-24.218,19.085,1
9.819,-25.24,13.365,1
5.895,-26.562,6.029,1
3.302,-26.517,2.729,1
4.817,-27.795,1.178,1
4.551,-30.34,-5.602,1
2.365,-34.329,-16.405,1
